parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
2483.0,3.0,3.0,0.39,0.67,0.67,0.0,0.0,0.0,0.0
2484.0,8.0,5.0,0.68,0.8,0.5,0.8,0.5,0.2,0.12
2485.0,8.0,5.0,0.15,0.2,0.12,0.2,0.12,0.0,0.0
2486.0,7.0,5.0,0.65,0.8,0.57,0.8,0.57,0.2,0.14
2487.0,9.0,8.0,0.43,0.5,0.44,0.5,0.44,0.12,0.11
2488.0,7.0,3.0,0.56,0.67,0.29,0.67,0.29,0.0,0.0
2489.0,8.0,9.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
2490.0,13.0,12.0,0.51,0.58,0.54,0.42,0.38,0.17,0.15
2491.0,10.0,9.0,0.67,0.78,0.7,0.78,0.7,0.22,0.2
2492.0,10.0,8.0,0.58,0.62,0.5,0.5,0.4,0.12,0.1
2493.0,5.0,17.0,0.62,0.24,0.8,0.18,0.6,0.0,0.0
2494.0,3.0,17.0,0.31,0.06,0.33,0.06,0.33,0.0,0.0
2495.0,5.0,5.0,0.47,0.6,0.6,0.2,0.2,0.0,0.0
2496.0,3.0,5.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
2497.0,10.0,10.0,0.53,0.6,0.6,0.6,0.6,0.1,0.1
2498.0,14.0,16.0,0.62,0.62,0.71,0.56,0.64,0.19,0.21
2499.0,19.0,13.0,0.62,0.77,0.53,0.54,0.37,0.08,0.05
2500.0,6.0,5.0,0.17,0.2,0.17,0.2,0.17,0.0,0.0
2501.0,11.0,12.0,0.42,0.5,0.55,0.25,0.27,0.0,0.0
2502.0,28.0,24.0,0.51,0.58,0.5,0.38,0.32,0.0,0.0
2503.0,34.0,24.0,0.59,0.75,0.53,0.58,0.41,0.08,0.06
2504.0,24.0,20.0,0.45,0.45,0.38,0.45,0.38,0.05,0.04
2505.0,7.0,7.0,0.77,0.86,0.86,0.86,0.86,0.29,0.29
2506.0,20.0,18.0,0.54,0.67,0.6,0.39,0.35,0.22,0.2
2507.0,36.0,4.0,0.59,0.75,0.08,0.5,0.06,0.25,0.03
2508.0,27.0,9.0,0.3,0.33,0.11,0.22,0.07,0.22,0.07
2509.0,40.0,16.0,0.54,0.62,0.25,0.44,0.17,0.06,0.03
2510.0,11.0,9.0,0.26,0.33,0.27,0.11,0.09,0.11,0.09
2511.0,12.0,2.0,0.43,0.5,0.08,0.5,0.08,0.0,0.0
2512.0,12.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2513.0,22.0,21.0,0.42,0.52,0.5,0.38,0.36,0.14,0.14
2514.0,17.0,10.0,0.12,0.1,0.06,0.1,0.06,0.0,0.0
2515.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2516.0,9.0,11.0,0.47,0.45,0.56,0.45,0.56,0.18,0.22
2517.0,13.0,11.0,0.27,0.36,0.31,0.27,0.23,0.0,0.0
2518.0,8.0,7.0,0.56,0.71,0.62,0.43,0.38,0.29,0.25
2519.0,9.0,6.0,0.73,0.83,0.56,0.83,0.56,0.5,0.33
2520.0,14.0,11.0,0.46,0.64,0.5,0.27,0.21,0.0,0.0
