parcel_id,gt_mask_ct,pred_mask_ct,mean_iou,p_50,r_50,p_70,r_70,p_90,r_90
101.0,51.0,73.0,0.32,0.25,0.35,0.16,0.24,0.05,0.08
102.0,51.0,71.0,0.33,0.24,0.33,0.21,0.29,0.04,0.06
103.0,19.0,130.0,0.57,0.08,0.58,0.08,0.53,0.02,0.16
104.0,20.0,64.0,0.44,0.14,0.45,0.12,0.4,0.03,0.1
105.0,52.0,144.0,0.41,0.16,0.44,0.11,0.31,0.01,0.02
106.0,16.0,39.0,0.43,0.18,0.44,0.08,0.19,0.03,0.06
107.0,9.0,42.0,0.48,0.12,0.56,0.12,0.56,0.0,0.0
108.0,21.0,42.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
109.0,16.0,26.0,0.41,0.27,0.44,0.23,0.38,0.23,0.38
110.0,24.0,39.0,0.36,0.21,0.33,0.18,0.29,0.1,0.17
111.0,14.0,53.0,0.29,0.09,0.36,0.06,0.21,0.02,0.07
112.0,30.0,41.0,0.29,0.24,0.33,0.17,0.23,0.02,0.03
113.0,23.0,60.0,0.42,0.17,0.43,0.15,0.39,0.05,0.13
114.0,53.0,71.0,0.3,0.25,0.34,0.2,0.26,0.04,0.06
115.0,26.0,56.0,0.57,0.29,0.62,0.29,0.62,0.09,0.19
116.0,43.0,58.0,0.32,0.24,0.33,0.21,0.28,0.05,0.07
117.0,12.0,35.0,0.55,0.2,0.58,0.14,0.42,0.09,0.25
118.0,26.0,49.0,0.43,0.27,0.5,0.22,0.42,0.1,0.19
119.0,13.0,25.0,0.43,0.2,0.38,0.16,0.31,0.08,0.15
120.0,4.0,11.0,0.39,0.18,0.5,0.09,0.25,0.0,0.0
121.0,4.0,20.0,0.82,0.2,1.0,0.15,0.75,0.1,0.5
122.0,8.0,11.0,0.25,0.18,0.25,0.18,0.25,0.0,0.0
123.0,2.0,9.0,0.47,0.11,0.5,0.11,0.5,0.0,0.0
124.0,14.0,39.0,0.45,0.18,0.5,0.15,0.43,0.0,0.0
125.0,24.0,54.0,0.47,0.24,0.54,0.2,0.46,0.02,0.04
126.0,12.0,43.0,0.55,0.14,0.5,0.09,0.33,0.07,0.25
127.0,12.0,34.0,0.44,0.18,0.5,0.12,0.33,0.06,0.17
128.0,59.0,69.0,0.27,0.22,0.25,0.19,0.22,0.04,0.05
129.0,52.0,122.0,0.26,0.11,0.27,0.09,0.21,0.02,0.06
130.0,31.0,82.0,0.63,0.26,0.68,0.23,0.61,0.09,0.23
131.0,49.0,70.0,0.34,0.27,0.39,0.21,0.31,0.06,0.08
132.0,25.0,114.0,0.41,0.1,0.44,0.08,0.36,0.03,0.12
133.0,12.0,77.0,0.47,0.06,0.42,0.06,0.42,0.04,0.25
134.0,18.0,119.0,0.64,0.12,0.78,0.1,0.67,0.01,0.06
135.0,17.0,76.0,0.66,0.17,0.76,0.13,0.59,0.03,0.12
136.0,28.0,61.0,0.48,0.23,0.5,0.21,0.46,0.1,0.21
137.0,38.0,74.0,0.45,0.24,0.47,0.2,0.39,0.11,0.21
138.0,24.0,128.0,0.41,0.08,0.42,0.02,0.12,0.01,0.04
139.0,27.0,143.0,0.37,0.07,0.37,0.03,0.15,0.01,0.04
140.0,28.0,88.0,0.4,0.16,0.5,0.11,0.36,0.02,0.07
141.0,11.0,45.0,0.21,0.04,0.18,0.04,0.18,0.0,0.0
142.0,62.0,62.0,0.17,0.18,0.18,0.08,0.08,0.0,0.0
143.0,45.0,60.0,0.27,0.23,0.31,0.15,0.2,0.02,0.02
144.0,26.0,35.0,0.14,0.11,0.15,0.06,0.08,0.0,0.0
145.0,23.0,43.0,0.58,0.35,0.65,0.33,0.61,0.16,0.3
146.0,18.0,28.0,0.43,0.32,0.5,0.32,0.5,0.04,0.06
147.0,11.0,21.0,0.34,0.14,0.27,0.14,0.27,0.05,0.09
148.0,22.0,42.0,0.47,0.24,0.45,0.19,0.36,0.1,0.18
149.0,15.0,35.0,0.61,0.31,0.73,0.23,0.53,0.06,0.13
150.0,28.0,51.0,0.45,0.25,0.46,0.25,0.46,0.14,0.25
151.0,31.0,52.0,0.42,0.27,0.45,0.27,0.45,0.12,0.19
152.0,29.0,61.0,0.34,0.18,0.38,0.13,0.28,0.07,0.14
153.0,27.0,46.0,0.38,0.24,0.41,0.2,0.33,0.02,0.04
154.0,7.0,24.0,0.23,0.08,0.29,0.08,0.29,0.0,0.0
155.0,4.0,21.0,0.66,0.14,0.75,0.1,0.5,0.1,0.5
